gene,dis,rank,Ensembl
MECP2,1.23E-07,4165,ENSG00000169057
ACTN4,1.23E-07,4166,ENSG00000130402
RP11-159D12.5,1.23E-07,4167,ENSG00000266079
PIGBOS1,1.23E-07,4168,ENSG00000225973
TRAF2,1.23E-07,4169,ENSG00000127191
RHEBL1,1.23E-07,4170,ENSG00000167550
E2F1,1.23E-07,4171,ENSG00000101412
ARPC1B,1.23E-07,4172,ENSG00000130429
TSGA10,1.23E-07,4173,ENSG00000135951
RNF185,1.23E-07,4174,ENSG00000138942
RN7SL616P,1.23E-07,4175,ENSG00000266473
CYB5A,1.23E-07,4176,ENSG00000166347
ASH1L,1.23E-07,4177,ENSG00000116539
CHTF8,1.23E-07,4178,ENSG00000168802
H1FX,1.23E-07,4179,ENSG00000184897
TSEN15,1.23E-07,4180,ENSG00000198860
AC005625.1,1.23E-07,4181,ENSG00000266962
AFG3L2,1.23E-07,4182,ENSG00000141385
RP11-19P22.8,1.23E-07,4183,ENSG00000266869
AIM1L,1.23E-07,4184,ENSG00000176092
RNF26,1.23E-07,4185,ENSG00000173456
MIR3179-3,1.23E-07,4186,ENSG00000266450
TMEM11,1.23E-07,4187,ENSG00000178307
DNAJB12,1.23E-07,4188,ENSG00000148719
10-Sep,1.23E-07,4189,ENSG00000186522
MRPL22,1.23E-07,4190,ENSG00000082515
DYNLT3,1.23E-07,4191,ENSG00000165169
GOLGA1,1.23E-07,4192,ENSG00000136935
SLC7A6OS,1.23E-07,4193,ENSG00000103061
GEMIN6,1.23E-07,4194,ENSG00000152147
SPG21,1.23E-07,4195,ENSG00000090487
RP11-856M7.8,1.23E-07,4196,ENSG00000266469
GAPLINC,1.23E-07,4197,ENSG00000266830
RBSN,1.23E-07,4198,ENSG00000131381
CSNK1A1,1.23E-07,4199,ENSG00000113712
LCMT2,1.23E-07,4200,ENSG00000168806
SGMS1,1.23E-07,4201,ENSG00000198964
RP11-881L2.1,1.23E-07,4202,ENSG00000266538
MIR4512,1.23E-07,4203,ENSG00000266588
PRSS3,1.23E-07,4204,ENSG00000010438
IQGAP3,1.23E-07,4205,ENSG00000183856
RP11-121A13.3,1.23E-07,4206,ENSG00000266835
,1.23E-07,4207,ENSG00000100101
PAPD4,1.23E-07,4208,ENSG00000164329
VTI1A,1.23E-07,4209,ENSG00000151532
MIR4641,1.23E-07,4210,ENSG00000266490
PGM1,1.23E-07,4211,ENSG00000079739
HTATIP2,1.23E-07,4212,ENSG00000109854
BLOC1S6,1.22E-07,4213,ENSG00000104164
XPNPEP3,1.22E-07,4214,ENSG00000196236
TM9SF4,1.22E-07,4215,ENSG00000101337
DGUOK,1.22E-07,4216,ENSG00000114956
RP5-890E16.4,1.22E-07,4217,ENSG00000266340
C16orf91,1.22E-07,4218,ENSG00000174109
TRIM13,1.22E-07,4219,ENSG00000204977
COPS5,1.22E-07,4220,ENSG00000121022
CFDP1,1.22E-07,4221,ENSG00000153774
TRMU,1.22E-07,4222,ENSG00000100416
HDAC5,1.22E-07,4223,ENSG00000108840
TAOK3,1.22E-07,4224,ENSG00000135090
LINC00663,1.22E-07,4225,ENSG00000266903
COMMD7,1.22E-07,4226,ENSG00000149600
CMC2,1.22E-07,4227,ENSG00000103121
RPA2,1.22E-07,4228,ENSG00000117748
FAM91A1,1.22E-07,4229,ENSG00000176853
PHKA1,1.22E-07,4230,ENSG00000067177
PABPC4,1.22E-07,4231,ENSG00000090621
LINC01989,1.22E-07,4232,ENSG00000261156
LINC01387,1.22E-07,4233,ENSG00000265943
PDAP1,1.22E-07,4234,ENSG00000106244
,1.22E-07,4235,ENSG00000266999
PPP5C,1.22E-07,4236,ENSG00000011485
TRIM24,1.22E-07,4237,ENSG00000122779
UBL5P2,1.22E-07,4238,ENSG00000266279
GNB1L,1.22E-07,4239,ENSG00000185838
NOP14-AS1,1.22E-07,4240,ENSG00000249673
SH2D3A,1.22E-07,4241,ENSG00000125731
TACO1,1.22E-07,4242,ENSG00000136463
NARS2,1.22E-07,4243,ENSG00000137513
IGSF3,1.22E-07,4244,ENSG00000143061
ZNF93,1.22E-07,4245,ENSG00000184635
CNNM2,1.22E-07,4246,ENSG00000148842
RP11-1058G23.1,1.22E-07,4247,ENSG00000267470
RP11-395I6.3,1.22E-07,4248,ENSG00000260296
GPAT4,1.22E-07,4249,ENSG00000158669
SNHG25,1.22E-07,4250,ENSG00000266401
NCBP3,1.22E-07,4251,ENSG00000074356
CCNA1,1.22E-07,4252,ENSG00000133101
KIF11,1.22E-07,4253,ENSG00000138160
CBX3P2,1.22E-07,4254,ENSG00000266402
MTMR3,1.22E-07,4255,ENSG00000100330
PXDN,1.22E-07,4256,ENSG00000130508
PDCD7,1.22E-07,4257,ENSG00000090470
RP11-256I9.2,1.22E-07,4258,ENSG00000260834
MFN1,1.22E-07,4259,ENSG00000171109
PRKCSH,1.22E-07,4260,ENSG00000130175
RP11-296E23.1,1.22E-07,4261,ENSG00000265750
CHMP4B,1.22E-07,4262,ENSG00000101421
WIPF2,1.22E-07,4263,ENSG00000171475
RN7SL140P,1.22E-07,4264,ENSG00000266053
,1.22E-07,4265,ENSG00000266045
GMFB,1.21E-07,4266,ENSG00000197045
TRAPPC4,1.21E-07,4267,ENSG00000196655
HNRNPR,1.21E-07,4268,ENSG00000125944
CCDC34,1.21E-07,4269,ENSG00000109881
ZNF428,1.21E-07,4270,ENSG00000131116
RP11-1376P16.1,1.21E-07,4271,ENSG00000266651
MYLPF,1.21E-07,4272,ENSG00000180209
RNF157-AS1,1.21E-07,4273,ENSG00000267127
DUS3L,1.21E-07,4274,ENSG00000141994
NOM1,1.21E-07,4275,ENSG00000146909
SEC22B,1.21E-07,4276,ENSG00000265806
TATDN3,1.21E-07,4277,ENSG00000203705
PDZD11,1.21E-07,4278,ENSG00000120509
GPRC5C,1.21E-07,4279,ENSG00000170412
ENSA,1.21E-07,4280,ENSG00000143420
ALG2,1.21E-07,4281,ENSG00000119523
MIR4451,1.21E-07,4282,ENSG00000266420
BACH1,1.21E-07,4283,ENSG00000156273
LPCAT3,1.21E-07,4284,ENSG00000111684
MTFR1,1.21E-07,4285,ENSG00000066855
FAM169A,1.21E-07,4286,ENSG00000198780
STRN3,1.21E-07,4287,ENSG00000196792
TBCK,1.21E-07,4288,ENSG00000145348
ARFIP2,1.21E-07,4289,ENSG00000132254
TMED10,1.21E-07,4290,ENSG00000170348
CYB5R4,1.21E-07,4291,ENSG00000065615
TRMT12,1.21E-07,4292,ENSG00000183665
NDUFS3,1.21E-07,4293,ENSG00000213619
DNA2,1.21E-07,4294,ENSG00000138346
PELO,1.21E-07,4295,ENSG00000152684
SNX18,1.21E-07,4296,ENSG00000178996
CSNK2B,1.21E-07,4297,ENSG00000204435
MIR3118-4,1.21E-07,4298,ENSG00000265791
GDF15,1.21E-07,4299,ENSG00000130513
RP11-118G23.1,1.21E-07,4300,ENSG00000265688
NFATC2IP,1.21E-07,4301,ENSG00000176953
FUNDC1,1.21E-07,4302,ENSG00000069509
,1.21E-07,4303,ENSG00000266780
ENOX2,1.21E-07,4304,ENSG00000165675
EMD,1.21E-07,4305,ENSG00000102119
COMMD1,1.21E-07,4306,ENSG00000173163
KRT18P55,1.21E-07,4307,ENSG00000265479
PDCD6IP,1.21E-07,4308,ENSG00000170248
FKBP1C,1.21E-07,4309,ENSG00000198225
RP11-20B24.6,1.21E-07,4310,ENSG00000265907
ABCD4,1.21E-07,4311,ENSG00000119688
UBE2Q2,1.21E-07,4312,ENSG00000140367
RBM27,1.21E-07,4313,ENSG00000091009
MT1H,1.21E-07,4314,ENSG00000205358
TXNIP,1.21E-07,4315,ENSG00000265971
ARL16,1.21E-07,4316,ENSG00000214087
PUSL1,1.21E-07,4317,ENSG00000169972
UBE2E1,1.21E-07,4318,ENSG00000170142
BUD13,1.21E-07,4319,ENSG00000137656
KANSL3,1.21E-07,4320,ENSG00000114982
POLR2M,1.21E-07,4321,ENSG00000255529
VCPIP1,1.21E-07,4322,ENSG00000175073
EEF1E1-BLOC1S5,1.21E-07,4323,ENSG00000265817
LINC01892,1.21E-07,4324,ENSG00000265511
RP11-799B12.4,1.21E-07,4325,ENSG00000265749
SNHG6,1.21E-07,4326,ENSG00000245910
MIR3942,1.21E-07,4327,ENSG00000265102
BCS1L,1.20E-07,4328,ENSG00000074582
PLSCR1,1.20E-07,4329,ENSG00000188313
CCNB2,1.20E-07,4330,ENSG00000157456
MIR3156-2,1.20E-07,4331,ENSG00000265496
MBOAT7,1.20E-07,4332,ENSG00000125505
FAM192A,1.20E-07,4333,ENSG00000172775
HPS6,1.20E-07,4334,ENSG00000166189
LTBP3,1.20E-07,4335,ENSG00000168056
NPM3,1.20E-07,4336,ENSG00000107833
CDK5RAP3,1.20E-07,4337,ENSG00000108465
AC145343.2,1.20E-07,4338,ENSG00000265055
RP11-173M1.3,1.20E-07,4339,ENSG00000265452
RP11-317N8.5,1.20E-07,4340,ENSG00000258938
BET1L,1.20E-07,4341,ENSG00000177951
GABBR1,1.20E-07,4342,ENSG00000204681
DAP,1.20E-07,4343,ENSG00000112977
,1.20E-07,4344,ENSG00000265314
NME4,1.20E-07,4345,ENSG00000103202
ATG9B,1.20E-07,4346,ENSG00000181652
PEA15,1.20E-07,4347,ENSG00000162734
SPATA5L1,1.20E-07,4348,ENSG00000171763
ID4,1.20E-07,4349,ENSG00000172201
PRIM1,1.20E-07,4350,ENSG00000198056
THAP1,1.20E-07,4351,ENSG00000131931
GMIP,1.20E-07,4352,ENSG00000089639
KDM4C,1.20E-07,4353,ENSG00000107077
GINS2,1.20E-07,4354,ENSG00000131153
MFSD10,1.20E-07,4355,ENSG00000109736
MED8,1.20E-07,4356,ENSG00000159479
RP11-6N17.4,1.20E-07,4357,ENSG00000264920
B3GALT6,1.20E-07,4358,ENSG00000176022
TFB2M,1.20E-07,4359,ENSG00000162851
IMPACT,1.20E-07,4360,ENSG00000154059
PARVA,1.20E-07,4361,ENSG00000197702
CCNK,1.20E-07,4362,ENSG00000090061
,1.20E-07,4363,ENSG00000265710
RP11-706O15.3,1.20E-07,4364,ENSG00000234449
MIR548S,1.20E-07,4365,ENSG00000265056
TRAK2,1.20E-07,4366,ENSG00000115993
,1.20E-07,4367,ENSG00000155640
RFC3,1.20E-07,4368,ENSG00000133119
ZSCAN21,1.20E-07,4369,ENSG00000166529
MAFG-AS1,1.20E-07,4370,ENSG00000265684
CTU2,1.20E-07,4371,ENSG00000174177
VN1R85P,1.20E-07,4372,ENSG00000269343
KLF6,1.20E-07,4373,ENSG00000067082
CDS1,1.20E-07,4374,ENSG00000163624
,1.20E-07,4375,ENSG00000264991
MED18,1.20E-07,4376,ENSG00000130772
ZER1,1.20E-07,4377,ENSG00000160445
SIRT1,1.20E-07,4378,ENSG00000096717
NBN,1.20E-07,4379,ENSG00000104320
CCNJ,1.20E-07,4380,ENSG00000107443
CIR1,1.20E-07,4381,ENSG00000138433
FRYL,1.20E-07,4382,ENSG00000075539
ADAT3,1.20E-07,4383,ENSG00000213638
,1.19E-07,4384,ENSG00000254184
TDP1,1.19E-07,4385,ENSG00000042088
PAPSS1,1.19E-07,4386,ENSG00000138801
,1.19E-07,4387,ENSG00000264918
RP11-421E14.2,1.19E-07,4388,ENSG00000264895
AP5M1,1.19E-07,4389,ENSG00000053770
TOMM70,1.19E-07,4390,ENSG00000154174
TMEM183A,1.19E-07,4391,ENSG00000163444
GSK3A,1.19E-07,4392,ENSG00000105723
RP11-395I6.2,1.19E-07,4393,ENSG00000250338
TAZ,1.19E-07,4394,ENSG00000102125
ZNF444,1.19E-07,4395,ENSG00000167685
ZNF566,1.19E-07,4396,ENSG00000186017
MAZ,1.19E-07,4397,ENSG00000103495
NLGN4X,1.19E-07,4398,ENSG00000146938
CLK1,1.19E-07,4399,ENSG00000013441
BLOC1S5,1.19E-07,4400,ENSG00000188428
PRPF38B,1.19E-07,4401,ENSG00000134186
RP11-115D19.1,1.19E-07,4402,ENSG00000251095
,1.19E-07,4403,ENSG00000264604
TIMM10B,1.19E-07,4404,ENSG00000132286
BRAT1,1.19E-07,4405,ENSG00000106009
KLHL12,1.19E-07,4406,ENSG00000117153
ABT1,1.19E-07,4407,ENSG00000146109
RP11-192H23.8,1.19E-07,4408,ENSG00000264608
PRKCA-AS1,1.19E-07,4409,ENSG00000264630
GTPBP8,1.19E-07,4410,ENSG00000163607
CREBRF,1.19E-07,4411,ENSG00000164463
DHFR,1.19E-07,4412,ENSG00000228716
PCED1B,1.19E-07,4413,ENSG00000179715
UBE2J2,1.19E-07,4414,ENSG00000160087
POLR2A,1.19E-07,4415,ENSG00000181222
MTMR1,1.19E-07,4416,ENSG00000063601
CAMSAP1,1.19E-07,4417,ENSG00000130559
MFF,1.19E-07,4418,ENSG00000168958
C12orf57,1.19E-07,4419,ENSG00000111678
RP11-381P6.1,1.19E-07,4420,ENSG00000264660
MORC3,1.19E-07,4421,ENSG00000159256
SORBS1,1.19E-07,4422,ENSG00000095637
CNOT11,1.19E-07,4423,ENSG00000158435
PRPF19,1.19E-07,4424,ENSG00000110107
ASB8,1.19E-07,4425,ENSG00000177981
AC010761.8,1.19E-07,4426,ENSG00000264577
FPGT,1.19E-07,4427,ENSG00000254685
SYS1,1.19E-07,4428,ENSG00000204070
IFITM1,1.19E-07,4429,ENSG00000185885
PAF1,1.19E-07,4430,ENSG00000006712
PLEKHM2,1.19E-07,4431,ENSG00000116786
SLC25A33,1.19E-07,4432,ENSG00000171612
SRPRA,1.19E-07,4433,ENSG00000182934
MBIP,1.19E-07,4434,ENSG00000151332
MED21,1.19E-07,4435,ENSG00000152944
EIF4H,1.19E-07,4436,ENSG00000106682
MIR4767,1.19E-07,4437,ENSG00000264268
,1.19E-07,4438,ENSG00000264508
,1.19E-07,4439,ENSG00000264523
,1.19E-07,4440,ENSG00000264514
PSME2,1.19E-07,4441,ENSG00000100911
THAP12,1.19E-07,4442,ENSG00000137492
NDUFAF3,1.19E-07,4443,ENSG00000178057
,1.19E-07,4444,ENSG00000261005
DUSP23,1.19E-07,4445,ENSG00000158716
APOA2,1.19E-07,4446,ENSG00000158874
KDELR1,1.18E-07,4447,ENSG00000105438
LINC00909,1.18E-07,4448,ENSG00000264247
C6orf62,1.18E-07,4449,ENSG00000112308
FOXI3,1.18E-07,4450,ENSG00000214336
FDX1,1.18E-07,4451,ENSG00000137714
LZTS2,1.18E-07,4452,ENSG00000107816
MEMO1,1.18E-07,4453,ENSG00000162959
RASSF8,1.18E-07,4454,ENSG00000123094
NANS,1.18E-07,4455,ENSG00000095380
OGFOD1,1.18E-07,4456,ENSG00000087263
LRRC28,1.18E-07,4457,ENSG00000168904
LINC01925,1.18E-07,4458,ENSG00000264265
MIR4449,1.18E-07,4459,ENSG00000264585
,1.18E-07,4460,ENSG00000264194
,1.18E-07,4461,ENSG00000264469
CDC7,1.18E-07,4462,ENSG00000097046
TARBP2,1.18E-07,4463,ENSG00000139546
TMEM38B,1.18E-07,4464,ENSG00000095209
RP11-116O18.1,1.18E-07,4465,ENSG00000266967
ULK3,1.18E-07,4466,ENSG00000140474
MIR4258,1.18E-07,4467,ENSG00000264349
RFC2,1.18E-07,4468,ENSG00000049541
DDT,1.18E-07,4469,ENSG00000099977
KEAP1,1.18E-07,4470,ENSG00000079999
MLLT10,1.18E-07,4471,ENSG00000078403
INPP5A,1.18E-07,4472,ENSG00000068383
RGS10,1.18E-07,4473,ENSG00000148908
MAP3K4,1.18E-07,4474,ENSG00000085511
WASHC3,1.18E-07,4475,ENSG00000120860
CHMP1A,1.18E-07,4476,ENSG00000131165
PIK3R1,1.18E-07,4477,ENSG00000145675
ZNF394,1.18E-07,4478,ENSG00000160908
ANKRD54,1.18E-07,4479,ENSG00000100124
DNAJC17,1.18E-07,4480,ENSG00000104129
PHPT1,1.18E-07,4481,ENSG00000054148
USP53,1.18E-07,4482,ENSG00000145390
STC2,1.18E-07,4483,ENSG00000113739
C6orf106,1.18E-07,4484,ENSG00000196821
RFPL4B,1.18E-07,4485,ENSG00000251258
MIR3189,1.18E-07,4486,ENSG00000264175
SOD2,1.18E-07,4487,ENSG00000112096
TSEN2,1.18E-07,4488,ENSG00000154743
ZC3H12A,1.18E-07,4489,ENSG00000163874
HIPK3,1.18E-07,4490,ENSG00000110422
TERF1,1.18E-07,4491,ENSG00000147601
TLK1,1.18E-07,4492,ENSG00000198586
TPD52,1.18E-07,4493,ENSG00000076554
RP11-580I16.2,1.18E-07,4494,ENSG00000263766
BTBD1,1.18E-07,4495,ENSG00000064726
SIPA1L1,1.18E-07,4496,ENSG00000197555
EIF4B,1.18E-07,4497,ENSG00000063046
ZFHX3,1.18E-07,4498,ENSG00000140836
RP11-498C9.15,1.18E-07,4499,ENSG00000263731
IRAK1,1.18E-07,4500,ENSG00000184216
PLEKHJ1,1.18E-07,4501,ENSG00000104886
RP11-855O10.3,1.18E-07,4502,ENSG00000255947
GM2A,1.18E-07,4503,ENSG00000196743
TRPC7-AS2,1.18E-07,4504,ENSG00000250947
,1.18E-07,4505,ENSG00000264046
RABAC1,1.18E-07,4506,ENSG00000105404
ZFYVE19,1.18E-07,4507,ENSG00000166140
CTD-2015H3.1,1.18E-07,4508,ENSG00000264080
CTD-2349P21.5,1.18E-07,4509,ENSG00000263603
C12orf10,1.18E-07,4510,ENSG00000139637
LINC00672,1.18E-07,4511,ENSG00000263874
CTC-480C2.1,1.18E-07,4512,ENSG00000250874
RP11-627G18.2,1.18E-07,4513,ENSG00000264012
SKA2,1.18E-07,4514,ENSG00000182628
CCDC7,1.18E-07,4515,ENSG00000216937
RP11-649A18.12,1.17E-07,4516,ENSG00000263843
USP24,1.17E-07,4517,ENSG00000162402
SEC11C,1.17E-07,4518,ENSG00000166562
LTV1,1.17E-07,4519,ENSG00000135521
RP11-705O1.8,1.17E-07,4520,ENSG00000263884
SAMD1,1.17E-07,4521,ENSG00000141858
PAIP1,1.17E-07,4522,ENSG00000172239
ILKAP,1.17E-07,4523,ENSG00000132323
SSBP3,1.17E-07,4524,ENSG00000157216
FRMD8,1.17E-07,4525,ENSG00000126391
JMJD6,1.17E-07,4526,ENSG00000070495
HGH1,1.17E-07,4527,ENSG00000235173
RP4-785G19.5,1.17E-07,4528,ENSG00000250917
GBAS,1.17E-07,4529,ENSG00000146729
MAT2B,1.17E-07,4530,ENSG00000038274
RP11-843P14.2,1.17E-07,4531,ENSG00000250909
RP11-366M4.13,1.17E-07,4532,ENSG00000250887
RP11-143J12.3,1.17E-07,4533,ENSG00000263847
NELFCD,1.17E-07,4534,ENSG00000101158
RP11-288C17.1,1.17E-07,4535,ENSG00000265415
MYL6B,1.17E-07,4536,ENSG00000196465
RP11-849F2.7,1.17E-07,4537,ENSG00000263809
USP6NL,1.17E-07,4538,ENSG00000148429
,1.17E-07,4539,ENSG00000263931
RP11-76K13.3,1.17E-07,4540,ENSG00000264475
OPA3,1.17E-07,4541,ENSG00000125741
TMEM200B,1.17E-07,4542,ENSG00000253304
RCAN1,1.17E-07,4543,ENSG00000159200
RP11-132A1.4,1.17E-07,4544,ENSG00000232445
RP11-679C8.2,1.17E-07,4545,ENSG00000250938
MLLT1,1.17E-07,4546,ENSG00000130382
RP11-1379J22.5,1.17E-07,4547,ENSG00000250999
TMEM203,1.17E-07,4548,ENSG00000187713
PHLDB2,1.17E-07,4549,ENSG00000144824
SLC33A1,1.17E-07,4550,ENSG00000169359
HDDC2,1.17E-07,4551,ENSG00000111906
SCO2,1.17E-07,4552,ENSG00000130489
,1.17E-07,4553,ENSG00000263568
CEP44,1.17E-07,4554,ENSG00000164118
LINC02163,1.17E-07,4555,ENSG00000251026
ZNF24,1.17E-07,4556,ENSG00000172466
WDR12,1.17E-07,4557,ENSG00000138442
LINC01950,1.17E-07,4558,ENSG00000251027
RP11-235E17.6,1.17E-07,4559,ENSG00000262903
CTC-542B22.2,1.17E-07,4560,ENSG00000263990
,1.17E-07,4561,ENSG00000251072
PLEKHA7,1.17E-07,4562,ENSG00000166689
RP11-192H23.7,1.17E-07,4563,ENSG00000264044
HMGN5,1.17E-07,4564,ENSG00000198157
PIGK,1.17E-07,4565,ENSG00000142892
CTC-479C5.12,1.17E-07,4566,ENSG00000261884
WWC2-AS2,1.17E-07,4567,ENSG00000251359
LINC01969,1.17E-07,4568,ENSG00000251085
,1.17E-07,4569,ENSG00000251331
ARMC2,1.17E-07,4570,ENSG00000118690
,1.17E-07,4571,ENSG00000251675
PLK3,1.17E-07,4572,ENSG00000173846
LACTB2,1.17E-07,4573,ENSG00000147592
RP11-689P11.3,1.17E-07,4574,ENSG00000251186
ZNF674,1.17E-07,4575,ENSG00000251192
,1.17E-07,4576,ENSG00000262944
RP11-68I3.10,1.17E-07,4577,ENSG00000264007
C8orf33,1.17E-07,4578,ENSG00000182307
RP11-81H3.2,1.17E-07,4579,ENSG00000251138
CEP57,1.17E-07,4580,ENSG00000166037
RP11-501C14.6,1.17E-07,4581,ENSG00000251461
EDRF1,1.17E-07,4582,ENSG00000107938
RP11-1113L8.1,1.17E-07,4583,ENSG00000262769
CCNC,1.17E-07,4584,ENSG00000112237
CTC-524C5.2,1.17E-07,4585,ENSG00000263272
RP11-37B2.1,1.17E-07,4586,ENSG00000251136
RP11-734I18.1,1.17E-07,4587,ENSG00000251129
SLC26A6,1.17E-07,4588,ENSG00000225697
RP11-461A8.4,1.17E-07,4589,ENSG00000263235
RP11-281P23.1,1.16E-07,4590,ENSG00000251152
LINC00958,1.16E-07,4591,ENSG00000251381
TUG1,1.16E-07,4592,ENSG00000253352
MMGT1,1.16E-07,4593,ENSG00000169446
TJP1,1.16E-07,4594,ENSG00000104067
STAU1,1.16E-07,4595,ENSG00000124214
DNAJC6,1.16E-07,4596,ENSG00000116675
RP11-166B2.8,1.16E-07,4597,ENSG00000263307
RP1-59D14.5,1.16E-07,4598,ENSG00000263345
SF1,1.16E-07,4599,ENSG00000168066
GPCPD1,1.16E-07,4600,ENSG00000125772
IDE,1.16E-07,4601,ENSG00000119912
SEC24B,1.16E-07,4602,ENSG00000138802
RP11-64J4.2,1.16E-07,4603,ENSG00000262670
,1.16E-07,4604,ENSG00000262601
ZCCHC6,1.16E-07,4605,ENSG00000083223
RP11-53O19.1,1.16E-07,4606,ENSG00000251141
PPP1CB,1.16E-07,4607,ENSG00000213639
DDA1,1.16E-07,4608,ENSG00000130311
,1.16E-07,4609,ENSG00000263244
,1.16E-07,4610,ENSG00000262758
GSE1,1.16E-07,4611,ENSG00000131149
RP11-893F2.15,1.16E-07,4612,ENSG00000263176
DVL3,1.16E-07,4613,ENSG00000161202
WAC,1.16E-07,4614,ENSG00000095787
DPF1,1.16E-07,4615,ENSG00000011332
POLE,1.16E-07,4616,ENSG00000177084
SEC13,1.16E-07,4617,ENSG00000157020
COG4,1.16E-07,4618,ENSG00000103051
,1.16E-07,4619,ENSG00000263786
RP11-843P14.1,1.16E-07,4620,ENSG00000251414
SHANK3,1.16E-07,4621,ENSG00000251322
RP11-469N6.1,1.16E-07,4622,ENSG00000251226
RP11-876N24.5,1.16E-07,4623,ENSG00000263013
RAB11B,1.16E-07,4624,ENSG00000185236
NAA16,1.16E-07,4625,ENSG00000172766
ING5,1.16E-07,4626,ENSG00000168395
WIPI2,1.16E-07,4627,ENSG00000157954
RP11-148B6.2,1.16E-07,4628,ENSG00000250046
RP11-497H17.1,1.16E-07,4629,ENSG00000262663
LINC01301,1.16E-07,4630,ENSG00000251396
MIR193BHG,1.16E-07,4631,ENSG00000262454
NAA11,1.16E-07,4632,ENSG00000156269
TSPAN3,1.16E-07,4633,ENSG00000140391
GTF3C3,1.16E-07,4634,ENSG00000119041
MSRB1,1.16E-07,4635,ENSG00000198736
,1.16E-07,4636,ENSG00000251606
TGS1,1.16E-07,4637,ENSG00000137574
RP11-78F17.1,1.16E-07,4638,ENSG00000263551
CIPC,1.16E-07,4639,ENSG00000198894
RP11-490O6.2,1.16E-07,4640,ENSG00000262420
SIN3B,1.16E-07,4641,ENSG00000127511
RPUSD3,1.16E-07,4642,ENSG00000156990
,1.16E-07,4643,ENSG00000251994
,1.16E-07,4644,ENSG00000251795
OARD1,1.16E-07,4645,ENSG00000124596
,1.16E-07,4646,ENSG00000262194
SOX15,1.16E-07,4647,ENSG00000129194
IFNAR1,1.16E-07,4648,ENSG00000142166
RP1-39G22.7,1.16E-07,4649,ENSG00000259943
RP11-6N13.1,1.16E-07,4650,ENSG00000251574
AKAP9,1.16E-07,4651,ENSG00000127914
HYAL2,1.16E-07,4652,ENSG00000068001
TMEM41B,1.16E-07,4653,ENSG00000166471
CORO7,1.16E-07,4654,ENSG00000262246
DCPS,1.16E-07,4655,ENSG00000110063
GCSH,1.16E-07,4656,ENSG00000140905
MTPAP,1.16E-07,4657,ENSG00000107951
SNORA74,1.16E-07,4658,ENSG00000252213
,1.16E-07,4659,ENSG00000252295
,1.16E-07,4660,ENSG00000252110
PCNP,1.16E-07,4661,ENSG00000081154
RP11-473M20.16,1.16E-07,4662,ENSG00000261889
CTD-2047H16.4,1.16E-07,4663,ENSG00000263069
LINC01569,1.16E-07,4664,ENSG00000262468
RP11-235E17.2,1.16E-07,4665,ENSG00000262304
RP11-388C12.8,1.16E-07,4666,ENSG00000262410
RRS1,1.16E-07,4667,ENSG00000179041
CTC-479C5.10,1.16E-07,4668,ENSG00000263126
SUCLG1,1.16E-07,4669,ENSG00000163541
DAZAP1,1.16E-07,4670,ENSG00000071626
RP11-539L10.3,1.16E-07,4671,ENSG00000251580
RP11-164P12.4,1.16E-07,4672,ENSG00000251603
RP5-1050D4.5,1.16E-07,4673,ENSG00000262227
RP11-610P16.1,1.16E-07,4674,ENSG00000251611
XRCC4,1.16E-07,4675,ENSG00000152422
FOXD1,1.16E-07,4676,ENSG00000251493
LINC02201,1.16E-07,4677,ENSG00000251538
RP11-774O3.3,1.16E-07,4678,ENSG00000251615
FLOT1,1.16E-07,4679,ENSG00000137312
OPN3,1.16E-07,4680,ENSG00000054277
RP11-521B24.3,1.16E-07,4681,ENSG00000251602
RMND5B,1.16E-07,4682,ENSG00000145916
SLC9A6,1.16E-07,4683,ENSG00000198689
PPIH,1.16E-07,4684,ENSG00000171960
RMND5A,1.16E-07,4685,ENSG00000153561
LINC01896,1.16E-07,4686,ENSG00000263146
ZNF213-AS1,1.16E-07,4687,ENSG00000263072
SLC25A29,1.16E-07,4688,ENSG00000197119
SKP2,1.16E-07,4689,ENSG00000145604
RNU6-1041P,1.16E-07,4690,ENSG00000252063
AMFR,1.16E-07,4691,ENSG00000159461
,1.16E-07,4692,ENSG00000252447
RP5-890E16.2,1.16E-07,4693,ENSG00000263412
MIGA1,1.16E-07,4694,ENSG00000180488
EXOSC2,1.16E-07,4695,ENSG00000130713
CHAF1A,1.16E-07,4696,ENSG00000167670
RP11-119D9.1,1.16E-07,4697,ENSG00000251637
RP11-876N24.4,1.16E-07,4698,ENSG00000262222
RP11-48B3.5,1.16E-07,4699,ENSG00000251867
HSPBAP1,1.16E-07,4700,ENSG00000169087
GLYR1,1.15E-07,4701,ENSG00000140632
TBRG1,1.15E-07,4702,ENSG00000154144
RNF125,1.15E-07,4703,ENSG00000101695
ROBO1,1.15E-07,4704,ENSG00000169855
TMOD3,1.15E-07,4705,ENSG00000138594
SNORA18,1.15E-07,4706,ENSG00000252719
TOX4,1.15E-07,4707,ENSG00000092203
RABL2B,1.15E-07,4708,ENSG00000079974
CTSA,1.15E-07,4709,ENSG00000064601
RNU6-1053P,1.15E-07,4710,ENSG00000251739
TUBB2B,1.15E-07,4711,ENSG00000137285
GTPBP6,1.15E-07,4712,ENSG00000178605
ACAD9,1.15E-07,4713,ENSG00000177646
SCARNA13,1.15E-07,4714,ENSG00000252481
SCARNA15,1.15E-07,4715,ENSG00000252690
